Comments,Date,Favorites,User,Polarity,Sentiment
RT @brianschatz: Trump’s Coronavirus Press Event Was Even Worse Than It Looked | WIRED https://t.co/p4d8DnmbhU,2020-03-08 01:22:39,0,Dwight Evans,-0.4,negative
"RT @SkyNews: Coronavirus: Hotel used for quarantine collapses in China, trapping 70 https://t.co/KDMFUpxUeU",2020-03-08 01:22:39,0,😷Liberty😷,0.0,neutral
"RT @DrDenaGrayson: Lung inflammation + low lymphocyte counts (""#AIDS""-like immunosuppression) in #coronavirus patients presents a conundrum…",2020-03-08 01:22:39,0,leone5464,0.0,neutral
"RT @richardhine: ""Pretending we could wall out the virus not only gave the public a false sense of security, it also left the United States…",2020-03-08 01:22:39,0,Bruce MacNeil,-0.10000000000000002,negative
RT @Talya8news: BREAKING-- Virginia confirms first case of Coronavirus,2020-03-08 01:22:39,0,Bobby Hutton,0.25,positive
"RT @scottwongDC: BREAKING: Attendees of both the @AIPAC and the conservative @CPAC conventions held in the Washington, DC, region in recent…",2020-03-08 01:22:39,0,Kim,0.0,neutral
RT @washingtonpost: Squandered time: How the Trump administration lost control of the coronavirus crisis https://t.co/Mf8Mo2CBLP,2020-03-08 01:22:39,0,gmcustodio,0.0,neutral
RT @RedPillMaC: China has  armed #COVID epidemic control personnel with a high tech smart helmet that can automatically measure passengers-…,2020-03-08 01:22:39,0,David E. Lentz,0.18714285714285714,positive
RT @RichardHaass: Truly sobering analysis: US more vulnerable than many countries to #coronavirus owing to combination of high numbers of u…,2020-03-08 01:22:39,0,John Robert Kraai,0.165,positive
Gonna drink enough alcohol to kill the coronavirus inside me,2020-03-08 01:22:39,0,register to vote,0.0,neutral
"@Vozdatarde É por aí mesmo!
https://t.co/i5SA6HZmoq",2020-03-08 01:22:39,0,Voz das Sombras,0.0,neutral
RT @KHJ_Esq: Coronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the…,2020-03-08 01:22:39,0,Pookie down da street,0.0,neutral
"El #Coronavirus llegó a la Argentina, como el #Dengue depende de todos ser responsables y ante los primeros síntoma… https://t.co/7STCmKg8ys",2020-03-08 01:22:39,0,Charly,0.0,neutral
RT @theojjaymes: @ai_valentin My family is extremely high risk for coronavirus and for dying from it due to my elderly grandma and my famil…,2020-03-08 01:22:39,0,Shady's Bitch💚🤝🧡,0.0175,positive
